ID_Producto,Nombre_Producto,Marca,Categoría,Ingrediente_Principal,Precio_USD,País_de_Origen,Año_Lanzamiento,Canal_de_Venta
PCOSM00001,Producto Neutrogena 244,Dior,Protección solar,Vitamina C,35.36,Estados Unidos,2009,Catálogo
PCOSM00002,Producto Dior 794,NARS,Cuidado capilar,Vitamina C,11.16,Canadá,2015,Retail
PCOSM00003,Producto NARS 230,Dior,Maquillaje,Aceite de argán,34.38,Japón,2018,Distribuidor
PCOSM00004,Producto MAC 489,Maybelline,Protección solar,Niacinamida,61.19,Canadá,2021,E-commerce
PCOSM00005,Producto MAC 46,Clinique,Protección solar,Aloe vera,21.16,Alemania,2008,Distribuidor
PCOSM00006,Producto Dior 32,MAC,Fragancias,Colágeno,97.05,Corea del Sur,2011,E-commerce
PCOSM00007,Producto Clinique 462,Revlon,Cuidado capilar,Vitamina C,94.17,Colombia,2005,E-commerce
PCOSM00008,Producto Estée Lauder 260,L'Oréal,Maquillaje,Colágeno,51.88,Corea del Sur,2024,Retail
PCOSM00009,Producto Clinique 837,Neutrogena,Cuidado capilar,Extracto de té verde,97.48,Canadá,2024,Distribuidor
PCOSM00010,Producto L'Oréal 731,Clinique,Cuidado capilar,Ácido hialurónico,77.45,Estados Unidos,2024,E-commerce
PCOSM00011,Producto Dior 800,Revlon,Fragancias,Retinol,20.58,Francia,2017,E-commerce
PCOSM00012,Producto Estée Lauder 91,Neutrogena,Cuidado capilar,Ácido hialurónico,16.36,Japón,2006,Marketplace
PCOSM00013,Producto Clinique 215,NARS,Cuidado capilar,Niacinamida,94.78,Canadá,2011,Retail
PCOSM00014,Producto NARS 783,L'Oréal,Protección solar,Retinol,97.34,Brasil,2024,Catálogo
PCOSM00015,Producto Clinique 759,Dior,Fragancias,Retinol,54.59,Colombia,2017,Retail
PCOSM00016,Producto NARS 163,Clinique,Fragancias,Aloe vera,58.15,Estados Unidos,2017,Marketplace
PCOSM00017,Producto Dior 659,Revlon,Cuidado de la piel,Extracto de té verde,85.67,Alemania,2013,Marketplace
PCOSM00018,Producto Revlon 298,NARS,Maquillaje,Retinol,60.46,Japón,2012,Marketplace
PCOSM00019,Producto NARS 828,Neutrogena,Maquillaje,Aceite de argán,65.78,Japón,2005,Retail
PCOSM00020,Producto L'Oréal 579,Clinique,Fragancias,Niacinamida,56.02,Alemania,2009,Retail
PCOSM00021,Producto Revlon 126,Neutrogena,Fragancias,Niacinamida,9.64,Alemania,2006,Retail
PCOSM00022,Producto NARS 814,Lancôme,Maquillaje,Vitamina C,114.64,Colombia,2015,Distribuidor
PCOSM00023,Producto Lancôme 182,Revlon,Cuidado de la piel,Aloe vera,78.42,Japón,2021,Marketplace
PCOSM00024,Producto Revlon 686,Clinique,Protección solar,Aloe vera,90.59,Colombia,2017,Retail
PCOSM00025,Producto Estée Lauder 264,NARS,Cuidado de la piel,Aloe vera,107.51,Francia,2014,Catálogo
PCOSM00026,Producto Neutrogena 634,Estée Lauder,Fragancias,Extracto de té verde,118.72,Canadá,2009,Catálogo
PCOSM00027,Producto Estée Lauder 163,Dior,Cuidado capilar,Retinol,19.57,Francia,2017,Catálogo
PCOSM00028,Producto Lancôme 872,Dior,Cuidado de la piel,Vitamina C,74.4,Francia,2015,Retail
PCOSM00029,Producto Dior 324,NARS,Fragancias,Vitamina C,50.16,Colombia,2024,Distribuidor
PCOSM00030,Producto Dior 420,Estée Lauder,Fragancias,Retinol,113.07,Estados Unidos,2018,Catálogo
PCOSM00031,Producto Neutrogena 975,Neutrogena,Cuidado capilar,Ácido hialurónico,96.93,Alemania,2007,Retail
PCOSM00032,Producto MAC 975,Dior,Cuidado capilar,Extracto de té verde,109.8,Canadá,2015,Distribuidor
PCOSM00033,Producto Clinique 644,Maybelline,Cuidado capilar,Retinol,98,Corea del Sur,2010,Catálogo
PCOSM00034,Producto Clinique 159,Lancôme,Maquillaje,Aloe vera,23.99,Canadá,2015,Catálogo
PCOSM00035,Producto MAC 405,Estée Lauder,Protección solar,Retinol,91.39,Canadá,2010,Distribuidor
PCOSM00036,Producto MAC 287,Maybelline,Cuidado capilar,Vitamina C,10.84,Corea del Sur,2016,Marketplace
PCOSM00037,Producto Lancôme 635,Dior,Fragancias,Colágeno,22.61,Canadá,2013,E-commerce
PCOSM00038,Producto Clinique 716,Neutrogena,Cuidado de la piel,Extracto de té verde,95.03,Francia,2006,Catálogo
PCOSM00039,Producto Neutrogena 709,Estée Lauder,Fragancias,Ácido hialurónico,42.46,Colombia,2006,Retail
PCOSM00040,Producto Dior 735,MAC,Maquillaje,Extracto de té verde,45.47,Brasil,2014,E-commerce
PCOSM00041,Producto L'Oréal 333,Clinique,Fragancias,Aloe vera,54.77,Alemania,2008,Catálogo
PCOSM00042,Producto Estée Lauder 236,Estée Lauder,Cuidado capilar,Retinol,19.19,Alemania,2022,Marketplace
PCOSM00043,Producto MAC 80,L'Oréal,Maquillaje,Vitamina C,42.34,Estados Unidos,2014,Distribuidor
PCOSM00044,Producto Neutrogena 634,Dior,Fragancias,Aloe vera,9.08,Canadá,2016,Marketplace
PCOSM00045,Producto MAC 867,Clinique,Protección solar,Retinol,27.35,Francia,2019,Retail
PCOSM00046,Producto Dior 172,L'Oréal,Cuidado capilar,Extracto de té verde,11.03,Brasil,2007,E-commerce
PCOSM00047,Producto Lancôme 959,L'Oréal,Cuidado capilar,Vitamina C,110.78,Canadá,2019,E-commerce
PCOSM00048,Producto Estée Lauder 676,Neutrogena,Maquillaje,Colágeno,103.42,Francia,2024,Retail
PCOSM00049,Producto Estée Lauder 82,Revlon,Cuidado de la piel,Vitamina C,64.13,Japón,2015,Retail
PCOSM00050,Producto NARS 79,Lancôme,Maquillaje,Niacinamida,85.44,Corea del Sur,2010,Distribuidor
PCOSM00051,Producto L'Oréal 747,Estée Lauder,Cuidado capilar,Ácido hialurónico,106.35,Corea del Sur,2018,Marketplace
PCOSM00052,Producto MAC 934,Neutrogena,Cuidado de la piel,Extracto de té verde,23.77,Alemania,2017,E-commerce
PCOSM00053,Producto Estée Lauder 438,Revlon,Maquillaje,Retinol,100.11,Estados Unidos,2024,Distribuidor
PCOSM00054,Producto MAC 838,L'Oréal,Maquillaje,Colágeno,109.24,Colombia,2013,Catálogo
PCOSM00055,Producto Clinique 369,Dior,Fragancias,Vitamina C,40.12,Brasil,2013,Catálogo
PCOSM00056,Producto L'Oréal 361,Clinique,Maquillaje,Retinol,97.96,Canadá,2015,Distribuidor
PCOSM00057,Producto Dior 244,Estée Lauder,Maquillaje,Retinol,113.89,Canadá,2022,Distribuidor
PCOSM00058,Producto L'Oréal 249,Dior,Maquillaje,Aloe vera,119.79,Corea del Sur,2017,Distribuidor
PCOSM00059,Producto Clinique 923,Clinique,Maquillaje,Vitamina C,109.59,Colombia,2023,Marketplace
PCOSM00060,Producto Clinique 259,Revlon,Maquillaje,Retinol,8.39,Francia,2007,Distribuidor
PCOSM00061,Producto L'Oréal 417,Clinique,Cuidado capilar,Ácido hialurónico,27.77,Francia,2012,Catálogo
PCOSM00062,Producto Neutrogena 332,Clinique,Fragancias,Aceite de argán,106.44,Estados Unidos,2009,E-commerce
PCOSM00063,Producto L'Oréal 773,Clinique,Maquillaje,Extracto de té verde,97.32,Francia,2014,Marketplace
PCOSM00064,Producto Maybelline 632,L'Oréal,Fragancias,Colágeno,20.1,Corea del Sur,2021,Catálogo
PCOSM00065,Producto Revlon 230,Estée Lauder,Cuidado de la piel,Extracto de té verde,108.04,Francia,2016,Catálogo
PCOSM00066,Producto Estée Lauder 336,Dior,Protección solar,Ácido hialurónico,13.78,Brasil,2010,Retail
PCOSM00067,Producto L'Oréal 427,NARS,Protección solar,Colágeno,88.88,Alemania,2022,Distribuidor
PCOSM00068,Producto L'Oréal 543,Neutrogena,Protección solar,Colágeno,79.18,Francia,2008,Catálogo
PCOSM00069,Producto NARS 753,Dior,Fragancias,Niacinamida,108.4,Canadá,2007,Marketplace
PCOSM00070,Producto Estée Lauder 727,Maybelline,Cuidado de la piel,Niacinamida,44.52,Estados Unidos,2005,Marketplace
PCOSM00071,Producto MAC 326,Estée Lauder,Maquillaje,Ácido hialurónico,56.1,Corea del Sur,2011,Distribuidor
PCOSM00072,Producto Estée Lauder 29,Dior,Maquillaje,Niacinamida,62.67,Japón,2007,Catálogo
PCOSM00073,Producto Dior 861,NARS,Maquillaje,Vitamina C,42.5,Brasil,2005,E-commerce
PCOSM00074,Producto Dior 779,L'Oréal,Fragancias,Retinol,50.21,Francia,2017,Distribuidor
PCOSM00075,Producto Neutrogena 691,Maybelline,Cuidado de la piel,Vitamina C,55.7,Alemania,2018,E-commerce
PCOSM00076,Producto Lancôme 230,Clinique,Protección solar,Ácido hialurónico,65.18,Japón,2011,Distribuidor
PCOSM00077,Producto Dior 537,Lancôme,Maquillaje,Ácido hialurónico,15.05,Francia,2021,E-commerce
PCOSM00078,Producto Dior 558,L'Oréal,Cuidado de la piel,Extracto de té verde,112.1,Francia,2014,Marketplace
PCOSM00079,Producto L'Oréal 749,Clinique,Fragancias,Vitamina C,116.18,Colombia,2019,Marketplace
PCOSM00080,Producto Maybelline 597,Neutrogena,Cuidado de la piel,Retinol,93.03,Corea del Sur,2017,Marketplace
PCOSM00081,Producto L'Oréal 687,Dior,Cuidado capilar,Extracto de té verde,70.99,Francia,2021,Marketplace
PCOSM00082,Producto Dior 691,MAC,Cuidado de la piel,Ácido hialurónico,40.31,Francia,2020,E-commerce
PCOSM00083,Producto L'Oréal 145,Neutrogena,Protección solar,Colágeno,53.58,Corea del Sur,2018,Distribuidor
PCOSM00084,Producto Maybelline 722,Clinique,Fragancias,Aloe vera,46.03,Alemania,2007,Catálogo
PCOSM00085,Producto L'Oréal 597,Estée Lauder,Maquillaje,Aloe vera,113.32,Estados Unidos,2016,Marketplace
PCOSM00086,Producto Estée Lauder 9,Neutrogena,Fragancias,Ácido hialurónico,71.02,Colombia,2006,Catálogo
PCOSM00087,Producto L'Oréal 118,NARS,Protección solar,Niacinamida,114.98,Estados Unidos,2021,Retail
PCOSM00088,Producto L'Oréal 508,Neutrogena,Fragancias,Aceite de argán,15.95,Estados Unidos,2022,Catálogo
PCOSM00089,Producto Dior 850,L'Oréal,Protección solar,Aceite de argán,67.43,Colombia,2014,E-commerce
PCOSM00090,Producto L'Oréal 90,MAC,Maquillaje,Niacinamida,93.69,Canadá,2019,Distribuidor
PCOSM00091,Producto Revlon 942,Maybelline,Protección solar,Retinol,52.42,Canadá,2016,Distribuidor
PCOSM00092,Producto L'Oréal 141,Maybelline,Cuidado capilar,Extracto de té verde,88.46,Canadá,2020,Catálogo
PCOSM00093,Producto Estée Lauder 906,Neutrogena,Cuidado capilar,Ácido hialurónico,29.26,Brasil,2020,Catálogo
PCOSM00094,Producto MAC 760,NARS,Cuidado de la piel,Extracto de té verde,7.05,Canadá,2013,E-commerce
PCOSM00095,Producto Dior 715,L'Oréal,Fragancias,Colágeno,16.56,Brasil,2017,Distribuidor
PCOSM00096,Producto Lancôme 877,MAC,Maquillaje,Extracto de té verde,54.67,Corea del Sur,2022,Retail
PCOSM00097,Producto Estée Lauder 393,Revlon,Maquillaje,Retinol,90.58,Alemania,2022,E-commerce
PCOSM00098,Producto Lancôme 471,NARS,Cuidado de la piel,Vitamina C,88.53,Canadá,2006,Catálogo
PCOSM00099,Producto MAC 224,MAC,Protección solar,Colágeno,37.53,Brasil,2021,Catálogo
PCOSM00100,Producto Neutrogena 621,Maybelline,Maquillaje,Colágeno,44.75,Corea del Sur,2024,Catálogo
PCOSM00101,Producto Neutrogena 26,Estée Lauder,Protección solar,Aloe vera,32.48,Brasil,2005,E-commerce
PCOSM00102,Producto Neutrogena 628,Clinique,Fragancias,Niacinamida,96.86,Colombia,2022,Catálogo
PCOSM00103,Producto MAC 77,Revlon,Maquillaje,Extracto de té verde,16.18,Brasil,2005,E-commerce
PCOSM00104,Producto Neutrogena 192,Dior,Maquillaje,Extracto de té verde,79.17,Brasil,2018,Marketplace
PCOSM00105,Producto Dior 848,Maybelline,Cuidado capilar,Ácido hialurónico,19.18,Alemania,2023,Catálogo
PCOSM00106,Producto Neutrogena 390,L'Oréal,Cuidado de la piel,Vitamina C,112.68,Francia,2023,Marketplace
PCOSM00107,Producto Maybelline 656,Dior,Protección solar,Colágeno,66.77,Japón,2006,Catálogo
PCOSM00108,Producto Estée Lauder 820,Clinique,Maquillaje,Retinol,64.12,Corea del Sur,2011,Retail
PCOSM00109,Producto MAC 716,MAC,Maquillaje,Aloe vera,93.57,Canadá,2014,E-commerce
PCOSM00110,Producto NARS 644,Revlon,Cuidado capilar,Aceite de argán,8.71,Corea del Sur,2019,E-commerce
PCOSM00111,Producto L'Oréal 558,NARS,Fragancias,Vitamina C,31.54,Alemania,2007,Catálogo
PCOSM00112,Producto Neutrogena 789,Estée Lauder,Protección solar,Aceite de argán,58.42,Canadá,2012,Retail
